Symbol,Company,Currency,Exchange,Notes
ASML,ASML Holding NV,USD,NASDAQ,EUV lithography monopoly — upstream of all advanced chips
000660.KS,SK Hynix,KRW,KRX,HBM memory supplier to NVIDIA
TSM,Taiwan Semiconductor Mfg (ADR),USD,NYSE,USD ADR — 2330.TW (TWD) already in holdings
NVDA,Nvidia,USD,NASDAQ,Core AI GPU — most important AI/semi name not in holdings
AVGO,Broadcom Inc,USD,NASDAQ,AI networking chips and custom silicon for hyperscalers
MSFT,Microsoft,USD,NASDAQ,Hyperscaler with deep OpenAI integration
SMH,VanEck Semiconductor ETF,USD,NASDAQ,Benchmark for broad semiconductor exposure
QQQM,Invesco Nasdaq-100 ETF,USD,NASDAQ,Broad tech-beta baseline
AMZN,Amazon.com Inc,USD,NASDAQ,Cloud infrastructure (AWS) + e-commerce
GOOGL,Alphabet Inc (Google),USD,NASDAQ,Search, ads, cloud, AI infrastructure
MU,Micron Technology,USD,NASDAQ,Memory semiconductors (DRAM, NAND)
META,Meta Platforms Inc,USD,NASDAQ,Social media + AI/metaverse investments
ORCL,Oracle Corporation,USD,NYSE,Enterprise database + cloud infrastructure
AAPL,Apple Inc,USD,NASDAQ,AI chips + ecosystem + largest tech company
AMD,Advanced Micro Devices,USD,NASDAQ,GPU/CPU competitor to NVIDIA
INTC,Intel Corporation,USD,NASDAQ,CPU/semiconductor manufacturer
ARM,ARM Holdings,USD,NASDAQ,IP design company powering mobile processors
SNPS,Synopsys Inc,USD,NASDAQ,EDA tools enabling chip design
